epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.859,0.8468,1.65442,1.4346,1.11708,0.88184,0.80546,0.88541,0.72263,0.88296,0.80788,0.8844,0.70412,0.68037,1.24686,0.71173,0.95943,0.00332613,0.00332613,0.00332613
2,719.121,0.72049,1.25326,0.71204,1.00373,0.89204,0.83342,0.89946,0.73439,0.89451,0.83337,0.89839,0.723,0.69632,1.17374,0.6391,0.94172,0.00663749,0.00663749,0.00663749
3,1056.44,0.74457,1.28072,0.69162,1.00138,0.88033,0.82981,0.88552,0.71499,0.88258,0.83035,0.88433,0.7023,0.71145,1.22447,0.67299,0.94805,0.00992685,0.00992685,0.00992685
4,1393.15,0.7471,1.24829,0.67305,1.00256,0.91219,0.82689,0.90339,0.73581,0.91274,0.82689,0.90116,0.72189,0.69591,1.18341,0.59072,0.94081,0.009901,0.009901,0.009901
5,1709.78,0.72285,1.19987,0.63111,0.9954,0.90184,0.83549,0.9098,0.74901,0.90291,0.83508,0.90682,0.73633,0.67251,1.11981,0.57591,0.92926,0.009868,0.009868,0.009868
6,2037.93,0.70646,1.16953,0.60577,0.98655,0.90226,0.84957,0.91197,0.75317,0.90416,0.84769,0.91052,0.73775,0.65948,1.14439,0.55206,0.92511,0.009835,0.009835,0.009835
7,2362.59,0.69579,1.1405,0.58514,0.98338,0.90005,0.84036,0.9084,0.75504,0.90015,0.84354,0.90746,0.73916,0.64561,1.09335,0.56576,0.92866,0.009802,0.009802,0.009802
8,2692.94,0.68593,1.13041,0.56828,0.97991,0.90269,0.84364,0.91172,0.76051,0.90421,0.84441,0.91019,0.74685,0.64469,1.10688,0.54138,0.92259,0.009769,0.009769,0.009769
9,2995.1,0.67585,1.11007,0.55057,0.9741,0.91775,0.85532,0.92524,0.77875,0.91902,0.85559,0.92324,0.76216,0.62185,1.09407,0.49529,0.91198,0.009736,0.009736,0.009736
10,3292.77,0.66707,1.09108,0.53692,0.97121,0.92055,0.85799,0.92747,0.77877,0.92296,0.85779,0.9257,0.75945,0.62818,1.04931,0.48813,0.9092,0.009703,0.009703,0.009703
11,3559.97,0.65908,1.07746,0.52628,0.96798,0.91745,0.85488,0.92246,0.77825,0.91607,0.85634,0.91985,0.7614,0.62049,1.06485,0.48488,0.91054,0.00967,0.00967,0.00967
12,3831.48,0.65278,1.07035,0.51989,0.96465,0.92462,0.86097,0.93119,0.78941,0.92406,0.86068,0.92899,0.76948,0.60582,1.01578,0.46713,0.90596,0.009637,0.009637,0.009637
13,4105.92,0.64751,1.05714,0.51025,0.96182,0.92067,0.86164,0.92813,0.78818,0.92191,0.86189,0.92685,0.76904,0.60453,1.02202,0.46503,0.90122,0.009604,0.009604,0.009604
14,4359.17,0.64165,1.05034,0.50305,0.96041,0.92497,0.86531,0.93291,0.79695,0.92678,0.8646,0.93134,0.78048,0.59168,0.9963,0.44516,0.90221,0.009571,0.009571,0.009571
15,4638.48,0.63942,1.05192,0.49483,0.95775,0.92345,0.86086,0.92947,0.78968,0.92411,0.86052,0.92794,0.77612,0.60802,0.99966,0.45869,0.90394,0.009538,0.009538,0.009538
16,4884.65,0.63673,1.03823,0.49407,0.9584,0.92258,0.87182,0.93458,0.79481,0.9266,0.87038,0.93307,0.77678,0.5992,0.99389,0.44239,0.9002,0.009505,0.009505,0.009505
17,5133.43,0.63053,1.02668,0.48365,0.95582,0.924,0.87508,0.93653,0.79997,0.92494,0.87597,0.93491,0.78263,0.58901,0.97475,0.44156,0.89604,0.009472,0.009472,0.009472
18,5369.48,0.63004,1.03311,0.48343,0.95522,0.9241,0.87087,0.93583,0.79896,0.92447,0.87121,0.93368,0.77768,0.5835,0.99357,0.43217,0.89255,0.009439,0.009439,0.009439
19,5585.25,0.62287,1.00922,0.4723,0.95133,0.92909,0.87287,0.93614,0.80231,0.9298,0.8727,0.93504,0.78358,0.59115,0.97751,0.43324,0.89658,0.009406,0.009406,0.009406
20,5837.82,0.6197,1.00436,0.47117,0.95097,0.9232,0.87771,0.93714,0.80157,0.9245,0.87766,0.93515,0.78483,0.58395,0.96201,0.42911,0.89443,0.009373,0.009373,0.009373
21,6081.89,0.61968,1.01137,0.46963,0.95031,0.92483,0.8778,0.9395,0.8063,0.92574,0.87825,0.93746,0.78729,0.58466,0.97087,0.42328,0.89275,0.00934,0.00934,0.00934
22,6288.54,0.61476,0.9985,0.464,0.94854,0.92703,0.87855,0.93885,0.80875,0.93035,0.87667,0.93745,0.79052,0.57689,0.95635,0.41127,0.88739,0.009307,0.009307,0.009307
23,6516.71,0.6146,0.99691,0.46029,0.94598,0.92546,0.8783,0.94131,0.81029,0.92624,0.87904,0.93952,0.79154,0.57523,0.94677,0.41034,0.8906,0.009274,0.009274,0.009274
24,6723.83,0.61169,0.98989,0.45533,0.94556,0.92313,0.87959,0.93828,0.80915,0.92443,0.87982,0.93686,0.79044,0.5776,0.95865,0.41634,0.89151,0.009241,0.009241,0.009241
25,6936.8,0.60807,0.99146,0.45336,0.94516,0.92552,0.88628,0.94116,0.81063,0.92785,0.88578,0.93899,0.78985,0.57575,0.95182,0.40506,0.89009,0.009208,0.009208,0.009208
26,7140.64,0.60855,0.99463,0.45345,0.94552,0.92916,0.88288,0.94272,0.8134,0.92487,0.8886,0.94115,0.79009,0.57343,0.93471,0.39983,0.88461,0.009175,0.009175,0.009175
27,7360.65,0.60428,0.97855,0.44676,0.94337,0.92811,0.8838,0.94124,0.81263,0.92821,0.88509,0.93932,0.79477,0.5715,0.93355,0.40195,0.88548,0.009142,0.009142,0.009142
28,7568.03,0.60396,0.97791,0.44764,0.94196,0.92843,0.88415,0.94376,0.81652,0.92849,0.88618,0.94205,0.79662,0.56955,0.93927,0.39656,0.88513,0.009109,0.009109,0.009109
29,7791.89,0.59986,0.97121,0.44129,0.94055,0.92991,0.88211,0.9425,0.81489,0.93159,0.88297,0.94112,0.79416,0.56812,0.93684,0.39935,0.88899,0.009076,0.009076,0.009076
30,8005.8,0.59684,0.96508,0.43816,0.93841,0.93083,0.88251,0.9436,0.81769,0.93042,0.88355,0.94215,0.79639,0.56663,0.9216,0.39786,0.88533,0.009043,0.009043,0.009043
31,8208.55,0.59777,0.96772,0.43801,0.9393,0.92916,0.88486,0.94605,0.8187,0.93053,0.88593,0.94449,0.79993,0.57046,0.92123,0.3895,0.88594,0.00901,0.00901,0.00901
